x,y,z,Activity
2.6740394,9.048384,-2.579436,fall
2.5530908,9.032816,-2.4417223999999997,fall
2.3902295,9.260342999999999,-2.3147863999999996,fall
2.2656883999999997,9.395661,-2.5483007,fall
2.2525158,9.278306,-2.6177563999999998,fall
2.323169,9.226811999999999,-2.4788451,fall
2.3662794,9.196875,-2.569856,fall
2.3578968,9.241183,-2.6369164,fall
2.2872436,9.041199,-2.3459215,fall
2.342329,9.097482000000001,-2.586621,fall
2.46208,8.994495,-2.8476782000000003,fall
2.5542884,9.023236,-2.818938,fall
2.6249412999999997,9.099876,-2.8285182,fall
2.4836352,9.390872,-2.6105714,fall
2.339934,8.950188,-2.4297473,fall
2.4022045,8.635242,-2.501598,fall
2.4273522,8.88672,-2.5554857,fall
2.389032,9.21364,-2.4333397999999997,fall
2.3566992,9.418414,-2.3626869,fall
2.222578,9.4507475,-2.3626869,fall
2.2956262,9.17532,-2.43813,fall
2.2932312,8.938213000000001,-2.4525,fall
2.3267615000000004,9.176517500000001,-2.7566674,fall
2.318379,9.22322,-2.7758276,fall
2.3578968,9.073531,-2.6836195,fall
2.2980213,8.909472000000001,-2.577041,fall
2.393822,8.799302,-2.4560926,fall
2.5638685000000003,8.835227,-2.290836,fall
2.0142113999999998,9.023236,-2.0824694999999998,fall
2.0597167,9.257947999999999,-2.0872595,fall
2.0070264,9.216035,-1.9914588,fall
1.7004639,9.041199,-2.0657043,fall
1.5459851,9.53577,-1.7088464,fall
1.5124548999999998,9.933344,-1.4920971,fall
0.8634045,9.920171,-1.9076331000000002,fall
0.70174074,9.83874,-1.2513976999999998,fall
-1.3172607,9.266331,-0.17962646,fall
-0.6885680999999999,10.230326,-0.98794556,fall
-3.0368847999999997,10.153686,-0.34967285,fall
-2.8500732999999996,10.529703,-0.7137158,fall
-5.149292,10.277028999999999,0.57480466,fall
-6.2965064,10.42552,0.7484436,fall
-6.5839086,10.486593,0.6227050999999999,fall
-7.820936,9.554931,-1.7435743000000001,fall
-9.1849,10.11776,-2.4441175,fall
-10.321337,10.687775,-3.838019,fall
-10.415939999999999,11.280542,-5.3193383,fall
-12.135564,10.39199,-3.9781275000000003,fall
-11.266171,10.189610499999999,-4.2739124,fall
-12.632530000000001,10.873388,-1.3879138,fall
-13.215717000000001,10.047107,0.05508545,fall
-11.999048,9.304651,1.8333875,fall
-10.734478,7.449708500000001,2.0118165,fall
-8.29515,5.9420433,1.299298,fall
-6.3432093,4.27032,0.0071850587,fall
-5.342091,1.411864,-1.0861413,fall
-3.8116736000000007,-1.4837146,-1.0178833,fall
-2.5566833,-3.354225,-0.38799316,fall
-2.2992187000000004,-3.4883459,-1.6465758999999998,fall
-1.2813355,-2.0549269,-2.7746299999999997,fall
-2.2513185,-1.1963123,-3.060835,fall
-2.7878027000000003,-3.8020935,-3.2308814999999997,fall
-2.1052222,-6.890471000000001,-2.8907886,fall
-3.1278956,-9.109457,-2.4692652,fall
-4.362528,-11.1320505,-3.0764027,fall
-5.0846267,-12.473262,-4.5301795,fall
-5.0067883,-13.774954999999999,-6.218668,fall
-4.6271777,-16.417858,-7.835306,fall
-5.520519999999999,-20.386406,-10.631492,fall
-6.4461949999999995,-22.51558,-10.296189,fall
-7.8963795,-21.672531,-9.398057000000001,fall
-8.79571,-20.303778,-8.909472000000001,fall
-8.988508,-20.708536,-7.7598634,fall
-11.62303,-25.281826000000002,-3.9218445,fall
-13.075609,-30.6323,0.32931520000000003,fall
-10.588382000000001,-31.820228999999998,4.1385937,fall
-8.52148,-28.299551,10.14171,fall
-10.249486,-25.391996,12.996573,fall
-12.900773,-24.428001000000002,16.621435,fall
-13.204939999999999,-24.854315,20.470232,fall
-11.361972999999999,-19.858304999999998,31.710058,fall
-18.651215,-22.970633,35.710938,fall
-17.208216,-19.499052,31.414274,fall
-16.894468,-13.025313,24.345373000000002,fall
-16.619041,-9.928554,21.989872000000002,fall
-15.996335,-9.107061,24.206463,fall
-14.594051,-9.830358,24.40046,fall
-15.890954999999998,-9.52619,23.09637,fall
-15.762820999999999,-8.419691,19.055973,fall
-13.922248999999999,-5.4043617,15.746056,fall
-21.82222,-5.640271,24.008873,fall
-25.475822,-11.864925999999999,34.150585,fall
-15.832276,-13.627660999999998,29.669502,fall
-13.378579,-13.146262,19.611618,fall
-10.285411999999999,-7.377857700000001,10.705737,fall
-9.372909,-1.0681787,4.691843,fall
-7.4880285,2.6045837000000005,1.9088305,fall
-6.1540027,2.9794042000000003,0.34847534,fall
-7.0305800000000005,0.5640271,-0.8861572,fall
-8.157436,-2.0501368,-0.60713744,fall
-9.645941,-4.3936634,-0.50774413,fall
-10.431507,-5.004393,-0.61073,fall
-10.659035000000001,-4.685855999999999,-0.0119750975,fall
-10.114167,-3.9338195,0.72808594,fall
-9.061557,-3.3685949999999996,2.1207898,fall
-8.517887,-2.926714,2.9111462,fall
-8.685538000000001,-2.4956102000000002,2.74589,fall
-9.018446,-2.0429516,2.337539,fall
-9.583671,-1.8609301999999999,2.591411,fall
-9.860294999999999,-2.3028114,2.3698718999999997,fall
-9.600436,-2.7375073,1.9914588,fall
-8.745414,-2.4093897,1.22146,fall
-8.060438000000001,-2.034569,0.86699706,fall
-8.085586,-1.8309925,1.1436218,fall
-8.493936999999999,-2.1686902000000003,1.8513501,fall
-8.970546,-2.550696,2.706372,fall
-9.315429,-2.6213488999999996,3.7170703,fall
-9.49266,-2.13516,4.337380400000001,fall
-9.769283999999999,-1.5364051,4.685855999999999,fall
-9.811197,-1.3424083999999998,3.8907092000000003,fall
-9.389674000000001,-0.9244775,3.1123277999999996,fall
-8.883127,-0.87298465,2.6955945,fall
-8.546627,-1.1987072,2.2525158,fall
-8.307125,-1.7088464,2.4860303,fall
-8.753797,-2.2237756,2.7195446,fall
-8.960965,-2.4213647999999997,2.9710217,fall
-9.284293,-2.7794201000000003,3.6248620000000003,fall
-9.430389,-3.0356872000000004,3.3254845,fall
-9.431587,-2.4093897,3.373385,fall
-9.260342999999999,-1.7579443,3.014132,fall
-8.822055,-1.4166541000000001,2.6105714,fall
-8.661588,-1.5759228,2.210603,fall
-8.527467,-1.5759228,2.264491,fall
-8.662786,-2.0118165,2.5578809,fall
-9.061557,-2.290836,2.9231215,fall
-9.408833999999999,-2.4932152999999997,3.1446607,fall
-9.447155,-2.396217,3.1482532,fall
-9.357342,-2.137555,3.1530432999999998,fall
-9.293873,-1.8776953,2.8979735,fall
-9.216035,-1.8597326,2.5578809,fall
-9.0567665,-1.8022522,2.6728417999999996,fall
-9.071136,-2.1363573,2.5578809,fall
-9.163344,-2.2285657000000003,2.5554857,fall
-9.073531,-2.2608984,2.6321266,fall
-9.183702,-2.1842577000000003,2.7087672,fall
-9.126222,-2.0285816000000003,2.6656568,fall
-9.068742,-2.0106189999999997,2.3519092,fall
-8.685538000000001,-1.7435743000000001,2.1674926,fall
-8.474776,-1.6765136999999999,2.1267774,fall
-8.50711,-1.8429674999999999,2.4321422999999998,fall
-8.775352,-2.1363573,2.8392956000000003,fall
-9.055569,-2.577041,3.3793726000000004,fall
-9.308244,-2.8548632,3.2715967,fall
-9.259146000000001,-2.4213647999999997,3.2931519000000002,fall
-9.220825,-1.9986438000000002,2.9255164000000002,fall
-9.158555,-1.6274158,2.6728417999999996,fall
-9.0639515,-1.7866845,2.894381,fall
-9.195678,-2.1363573,3.0296998,fall
-9.253158,-2.088457,3.1446607,fall
-9.362131,-1.900448,3.3925452000000003,fall
-9.084309,-1.7902771,3.7697608,fall
-8.994495,-2.3854394,3.822451,fall
-9.122629,-3.0165272,3.8475987999999997,fall
