Mean X,Std X,Median X,RMS X,Mean Y,Std Y,Median Y,RMS Y,Mean Z,Std Z,Median Z,RMS Z,Activity
-0.38933322930582004,2.4925920183778665,-0.0353265365,2.5195552754370856,-5.610722922592593,3.1981923667574215,-4.612807500000001,6.4561278471377666,-5.481661128015873,7.450543644048625,-9.0004835,9.241880537723606,hand_wash
-0.5853664796903554,3.0790969891063447,-0.047301635,3.1304039903147762,-6.586443525228426,3.419744464716783,-5.011578549999999,7.419313220008902,-6.840069381010152,7.103999871427035,-9.034613,9.855215621660552,hand_wash
-0.5323007858568122,3.2952290759379266,-0.031135254,3.3337613619865927,-7.2508323605141385,3.8077725432731384,-6.3360243,8.187577714400271,-5.689802929483291,7.8457064563389185,-8.599318,9.683528686309808,hand_wash
-0.9598087448771428,4.604344661694442,-0.737666,4.6974628984101265,-8.72022258322078,3.815614034552125,-8.270002,9.516479233925692,-3.9751507592441557,9.1816474580348,-4.30864,9.994273644450857,hand_wash
-0.6823758112816062,4.239050459049683,-0.699944425,4.288196859633777,-8.314409578082902,3.896334756208849,-7.8155475,9.17995103740694,-4.892423020347151,8.423803511232146,-5.6672151500000005,9.732031298900129,hand_wash
-0.32308380945953613,3.739100385014933,-0.37541932,3.748229136898778,-7.599106829484536,3.743865381121129,-7.0455487,8.469169234684802,-5.507341228932989,7.266707255520668,-7.21619385,9.110419655538298,hand_wash
-0.5073398634731459,3.7248789796173716,-0.36524048,3.754548165058563,-6.852071217595908,3.6519489597304475,-6.133645,7.762312921321492,-6.659526349757034,6.806386970074781,-8.549023,9.516181569313137,hand_wash
-0.10855579145384615,2.3169929032364434,-0.328716435,2.3165653889799733,-6.110026403333333,3.3210597198259104,-5.5019585,6.952235590275204,-7.799543823043589,5.05325873248145,-8.695716999999998,9.2899317661268,hand_wash
-0.2026785301709184,2.4034916826143853,-0.322728875,2.4089653777169113,-6.2375411928188775,3.779021088972755,-5.466632,7.290506799912267,-6.117390048637755,6.516277461554239,-7.887996899999999,8.93174181563728,hand_wash
-0.23421142282384613,2.6917889215470407,-0.32332763499999995,2.6985188159490963,-6.494000278858975,4.221578672749777,-5.8025336,7.742613859508035,-6.004255618041027,6.819929178897815,-7.083869,9.079827060289544,hand_wash
